greenstripe amaranth,https://en.wikipedia.org/wiki/Amaranthus_acanthochiton,Amaranthus,Amaranthus Acanthochiton,greenstripe
slender amaranth,https://en.wikipedia.org/wiki/Amaranthus_viridis,amaranth,Amaranthus viridis,"green amaranth, callaloo"
purple amaranth,https://en.wikipedia.org/wiki/Amaranthus_blitum,amaranth,Amaranthus blitum,
red amaranth,https://en.wikipedia.org/wiki/Amaranthus_caudatus,amaranth,Amaranthus caudatus,"blood amaranth, purple amaranth, prince's feather, Mexican grain amaranth"
red spinach,https://en.wikipedia.org/wiki/Amaranthus_dubius,amaranth,Amaranthus dubius,"Chinese spinach, spleen amaranth"
smooth amaranth,https://en.wikipedia.org/wiki/Amaranthus_hybridus,amaranth,Amaranthus hybridus,"smooth pigweed, red amaranth, slim amaranth"
Prince of Wales,https://en.wikipedia.org/wiki/Amaranthus_hypochondriacus,amaranth,Amaranthus hypochondriacus," Prince-of-Wales feather, Prince's feather"
Palmer's amaranth,https://en.wikipedia.org/wiki/Amaranthus_palmeri,amaranth,Amaranthus palmeri,"Palmer amaranth, Palmer's pigweed, carelessweed"
red-root amaranth,https://en.wikipedia.org/wiki/Amaranthus_retroflexus,amaranth,Amaranthus retroflexus,"redroot pigweed, red-rooted pigweed, common amaranth, pigweed amaranth, common tumbleweed"
spiny amaranth,https://en.wikipedia.org/wiki/Amaranthus_spinosus,amaranth,Amaranthus spinosus,"prickly amaranth, thorny amaranth"
stinging nettle,https://en.wikipedia.org/wiki/Urtica_dioica,nettle,Urtica dioica,
tree nettle,https://en.wikipedia.org/wiki/Urtica_incisa,nettle,Urtica incisa,"scrub nettle, stinging nettle"
Thunberg's amaranth,https://en.wikipedia.org/wiki/Amaranthus_thunbergii,amaranth,Amaranthus thunbergii,
tampala,https://en.wikipedia.org/wiki/Amaranthus_tricolor,amaranth,Amaranthus tricolor,"callaloo, Joseph's coat "
star anise,http://en.wikipedia.org/wiki/Illicium_verum,,Illicium verum,"star aniseed, Chinese star anise"
